timestamp,ssid,bssid,channel,rssi
20/08/2025 13:33,,,,-79
20/08/2025 13:33,,,,-80
20/08/2025 13:33,,,,-79
20/08/2025 13:33,,,,-82
20/08/2025 13:33,,,,-78
20/08/2025 13:33,,,,-78
20/08/2025 13:33,,,,-83
20/08/2025 13:33,,,,-78
20/08/2025 13:33,,,,-85
20/08/2025 13:33,,,,-84
20/08/2025 13:33,,,,-80
20/08/2025 13:33,,,,-84
20/08/2025 13:33,,,,-81
20/08/2025 13:33,,,,-79
20/08/2025 13:33,,,,-84
20/08/2025 13:33,,,,-80
20/08/2025 13:33,,,,-78
20/08/2025 13:33,,,,-80
20/08/2025 13:33,,,,-83
20/08/2025 13:33,,,,-81
20/08/2025 13:33,,,,-80
20/08/2025 13:33,,,,-81
20/08/2025 13:33,,,,-79
20/08/2025 13:33,,,,-81
20/08/2025 13:33,,,,-81
20/08/2025 13:33,,,,-82
20/08/2025 13:33,,,,-84
20/08/2025 13:33,,,,-82
20/08/2025 13:33,,,,-78
20/08/2025 13:33,,,,-79
20/08/2025 13:33,,,,-82
20/08/2025 13:33,,,,-86
20/08/2025 13:33,,,,-79
20/08/2025 13:33,,,,-79
20/08/2025 13:33,,,,-79
20/08/2025 13:33,,,,-82
20/08/2025 13:33,,,,-80
20/08/2025 13:33,,,,-79
20/08/2025 13:33,,,,-79
20/08/2025 13:33,,,,-84
20/08/2025 13:33,,,,-80
20/08/2025 13:33,,,,-85
20/08/2025 13:34,,,,-77
20/08/2025 13:34,,,,-78
20/08/2025 13:34,,,,-78
20/08/2025 13:34,,,,-78
20/08/2025 13:34,,,,-82
20/08/2025 13:34,,,,-84
20/08/2025 13:34,,,,-81
20/08/2025 13:34,,,,-83
20/08/2025 13:34,,,,-78
20/08/2025 13:34,,,,-83
20/08/2025 13:34,,,,-80
20/08/2025 13:34,,,,-83
20/08/2025 13:34,,,,-81
20/08/2025 13:34,,,,-78
20/08/2025 13:34,,,,-80
20/08/2025 13:34,,,,-83
20/08/2025 13:34,,,,-81
20/08/2025 13:34,,,,-82
20/08/2025 13:34,,,,-78
20/08/2025 13:34,,,,-77
